epoch: 0	train ppl: 526093.3144784566	val ppl: 94060.85358332453	best val: 94060.85358332453	time (s) spent in epoch: 65.60138440132141
epoch: 1	train ppl: 10476.258794465204	val ppl: 3820.8024116913275	best val: 3820.8024116913275	time (s) spent in epoch: 65.61194038391113
epoch: 2	train ppl: 4079.6836537422832	val ppl: 4668.167949707585	best val: 3820.8024116913275	time (s) spent in epoch: 61.18999481201172
epoch: 3	train ppl: 789.5929966684245	val ppl: 548.6046985424683	best val: 548.6046985424683	time (s) spent in epoch: 64.06748604774475
epoch: 4	train ppl: 558.932373128051	val ppl: 625.1703814161406	best val: 548.6046985424683	time (s) spent in epoch: 63.871397972106934
epoch: 5	train ppl: 488.7792711898078	val ppl: 448.63864841230276	best val: 448.63864841230276	time (s) spent in epoch: 65.63029766082764
epoch: 6	train ppl: 451.19708668156835	val ppl: 413.9969764232239	best val: 413.9969764232239	time (s) spent in epoch: 64.82093358039856
epoch: 7	train ppl: 413.16944490303234	val ppl: 387.12247988302664	best val: 387.12247988302664	time (s) spent in epoch: 65.5235207080841
epoch: 8	train ppl: 372.8741207863056	val ppl: 350.1148026942099	best val: 350.1148026942099	time (s) spent in epoch: 63.0482964515686
epoch: 9	train ppl: 317.3861571870397	val ppl: 421.7399493281738	best val: 350.1148026942099	time (s) spent in epoch: 62.60576105117798
epoch: 10	train ppl: 279.9930507748972	val ppl: 271.09798454651917	best val: 271.09798454651917	time (s) spent in epoch: 65.50695371627808
epoch: 11	train ppl: 243.9604880861069	val ppl: 246.51225014245705	best val: 246.51225014245705	time (s) spent in epoch: 65.61179304122925
epoch: 12	train ppl: 214.09250179632892	val ppl: 238.18120022060486	best val: 238.18120022060486	time (s) spent in epoch: 64.93443131446838
epoch: 13	train ppl: 185.79208441185918	val ppl: 216.08318716388342	best val: 216.08318716388342	time (s) spent in epoch: 62.418959617614746
epoch: 14	train ppl: 166.34940476158886	val ppl: 196.34181591619299	best val: 196.34181591619299	time (s) spent in epoch: 63.60187649726868
epoch: 15	train ppl: 124.89287912470526	val ppl: 174.50354817147962	best val: 174.50354817147962	time (s) spent in epoch: 64.90489411354065
epoch: 16	train ppl: 94.33174533547641	val ppl: 147.90901920618884	best val: 147.90901920618884	time (s) spent in epoch: 66.12445449829102
epoch: 17	train ppl: 74.71985500486412	val ppl: 146.09410410409103	best val: 146.09410410409103	time (s) spent in epoch: 64.95853924751282
epoch: 18	train ppl: 62.49886605859707	val ppl: 148.24746222961113	best val: 146.09410410409103	time (s) spent in epoch: 64.50855159759521
epoch: 19	train ppl: 55.424949983976056	val ppl: 150.4058062423959	best val: 146.09410410409103	time (s) spent in epoch: 63.394911766052246
epoch: 20	train ppl: 51.75621858291387	val ppl: 151.42844451610645	best val: 146.09410410409103	time (s) spent in epoch: 56.87538266181946
epoch: 21	train ppl: 50.09474729662073	val ppl: 150.90752723738282	best val: 146.09410410409103	time (s) spent in epoch: 64.10881400108337
epoch: 22	train ppl: 49.36736185798898	val ppl: 150.02914390280463	best val: 146.09410410409103	time (s) spent in epoch: 64.95233035087585
epoch: 23	train ppl: 49.15457961288842	val ppl: 149.7738804421015	best val: 146.09410410409103	time (s) spent in epoch: 64.25601077079773
epoch: 24	train ppl: 49.02946566609913	val ppl: 149.7028009422083	best val: 146.09410410409103	time (s) spent in epoch: 63.91474890708923
epoch: 25	train ppl: 49.011037104557964	val ppl: 149.68951521117702	best val: 146.09410410409103	time (s) spent in epoch: 63.09036111831665
epoch: 26	train ppl: 49.00263541749442	val ppl: 149.68722668683856	best val: 146.09410410409103	time (s) spent in epoch: 63.12218689918518
epoch: 27	train ppl: 49.0644275213899	val ppl: 149.68687426612146	best val: 146.09410410409103	time (s) spent in epoch: 65.03498697280884
epoch: 28	train ppl: 49.01652807398592	val ppl: 149.68686534408874	best val: 146.09410410409103	time (s) spent in epoch: 67.0287811756134
epoch: 29	train ppl: 49.01706723447203	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 72.27285981178284
epoch: 30	train ppl: 49.02725345728966	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 57.95145106315613
epoch: 31	train ppl: 49.03385090627506	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 67.40510392189026
epoch: 32	train ppl: 49.00262757229564	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 71.14679980278015
epoch: 33	train ppl: 48.983878935080526	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 60.29615378379822
epoch: 34	train ppl: 49.095749777372745	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 71.59909152984619
epoch: 35	train ppl: 49.03776848046852	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 66.31177759170532
epoch: 36	train ppl: 49.05115681014881	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 62.84186887741089
epoch: 37	train ppl: 49.04455002809172	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 70.49083638191223
epoch: 38	train ppl: 49.05694998697416	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 62.76530075073242
epoch: 39	train ppl: 49.00591414325318	val ppl: 149.68684750002495	best val: 146.09410410409103	time (s) spent in epoch: 65.54510283470154
