epoch: 0	train ppl: 340.9405290192019	val ppl: 189.67185964777624	best val: 189.67185964777624	time (s) spent in epoch: 36.716694355010986
epoch: 1	train ppl: 138.61406853338178	val ppl: 147.35960674646833	best val: 147.35960674646833	time (s) spent in epoch: 34.54506587982178
epoch: 2	train ppl: 93.4208351211528	val ppl: 135.6783839204804	best val: 135.6783839204804	time (s) spent in epoch: 30.946909427642822
epoch: 3	train ppl: 69.49551580823427	val ppl: 135.3315936944499	best val: 135.3315936944499	time (s) spent in epoch: 30.734164476394653
epoch: 4	train ppl: 53.85778691336173	val ppl: 142.909557697219	best val: 135.3315936944499	time (s) spent in epoch: 34.25896430015564
epoch: 5	train ppl: 42.80808127430601	val ppl: 154.198288193116	best val: 135.3315936944499	time (s) spent in epoch: 34.33514356613159
epoch: 6	train ppl: 34.5264798911735	val ppl: 170.87258052946478	best val: 135.3315936944499	time (s) spent in epoch: 34.225666761398315
epoch: 7	train ppl: 28.180814862174728	val ppl: 192.5410252421964	best val: 135.3315936944499	time (s) spent in epoch: 31.53846263885498
epoch: 8	train ppl: 23.336186064560344	val ppl: 222.5428080214251	best val: 135.3315936944499	time (s) spent in epoch: 30.561623334884644
epoch: 9	train ppl: 19.649333114996107	val ppl: 252.21868391185657	best val: 135.3315936944499	time (s) spent in epoch: 31.76955270767212
epoch: 10	train ppl: 16.8121217707602	val ppl: 284.9973004717185	best val: 135.3315936944499	time (s) spent in epoch: 35.065086364746094
epoch: 11	train ppl: 14.548858440572719	val ppl: 326.0400920204899	best val: 135.3315936944499	time (s) spent in epoch: 34.72930836677551
epoch: 12	train ppl: 12.787879071529064	val ppl: 369.4737925560307	best val: 135.3315936944499	time (s) spent in epoch: 32.98096299171448
epoch: 13	train ppl: 11.386593348559463	val ppl: 417.1776976529883	best val: 135.3315936944499	time (s) spent in epoch: 30.20710587501526
epoch: 14	train ppl: 10.259275176322147	val ppl: 478.79917390181686	best val: 135.3315936944499	time (s) spent in epoch: 30.138548374176025
epoch: 15	train ppl: 9.32479951415001	val ppl: 537.3295144146882	best val: 135.3315936944499	time (s) spent in epoch: 34.7941792011261
epoch: 16	train ppl: 8.54389167616418	val ppl: 600.3608275729406	best val: 135.3315936944499	time (s) spent in epoch: 34.65369629859924
epoch: 17	train ppl: 7.901778712145395	val ppl: 666.1268000836578	best val: 135.3315936944499	time (s) spent in epoch: 34.45974349975586
epoch: 18	train ppl: 7.336110710975676	val ppl: 762.065327246175	best val: 135.3315936944499	time (s) spent in epoch: 31.537078142166138
epoch: 19	train ppl: 6.873058570201967	val ppl: 841.4634586429148	best val: 135.3315936944499	time (s) spent in epoch: 30.23555898666382
epoch: 20	train ppl: 6.458837681569416	val ppl: 934.9491652818929	best val: 135.3315936944499	time (s) spent in epoch: 32.53081703186035
epoch: 21	train ppl: 6.108211809410148	val ppl: 1042.9756358806364	best val: 135.3315936944499	time (s) spent in epoch: 34.506086111068726
epoch: 22	train ppl: 5.798337331402893	val ppl: 1144.339199569011	best val: 135.3315936944499	time (s) spent in epoch: 34.82954168319702
epoch: 23	train ppl: 5.5330550391514235	val ppl: 1279.7792823485127	best val: 135.3315936944499	time (s) spent in epoch: 33.709521532058716
epoch: 24	train ppl: 5.299567696047186	val ppl: 1382.7202541746728	best val: 135.3315936944499	time (s) spent in epoch: 30.289812326431274
epoch: 25	train ppl: 5.065574005471313	val ppl: 1512.914224384117	best val: 135.3315936944499	time (s) spent in epoch: 30.445603132247925
epoch: 26	train ppl: 4.864083606128055	val ppl: 1664.544035893979	best val: 135.3315936944499	time (s) spent in epoch: 34.472983598709106
epoch: 27	train ppl: 4.69950055690285	val ppl: 1775.365514811363	best val: 135.3315936944499	time (s) spent in epoch: 35.31875658035278
epoch: 28	train ppl: 4.549144812930165	val ppl: 1938.5263945309157	best val: 135.3315936944499	time (s) spent in epoch: 34.66214466094971
epoch: 29	train ppl: 4.403047548422528	val ppl: 2100.6080398063623	best val: 135.3315936944499	time (s) spent in epoch: 30.039285898208618
epoch: 30	train ppl: 4.2640213260153255	val ppl: 2239.726219937181	best val: 135.3315936944499	time (s) spent in epoch: 29.727771282196045
epoch: 31	train ppl: 4.141099244487579	val ppl: 2453.5766921241584	best val: 135.3315936944499	time (s) spent in epoch: 34.66530776023865
epoch: 32	train ppl: 4.037675518514962	val ppl: 2591.9337982166967	best val: 135.3315936944499	time (s) spent in epoch: 34.671842098236084
epoch: 33	train ppl: 3.932795284664094	val ppl: 2799.759141952217	best val: 135.3315936944499	time (s) spent in epoch: 34.631261110305786
epoch: 34	train ppl: 3.8343859202712713	val ppl: 2972.0655640970394	best val: 135.3315936944499	time (s) spent in epoch: 29.435007095336914
epoch: 35	train ppl: 3.744595316967786	val ppl: 3281.3722187229573	best val: 135.3315936944499	time (s) spent in epoch: 29.81031060218811
epoch: 36	train ppl: 3.6733035443661066	val ppl: 3445.0469382446267	best val: 135.3315936944499	time (s) spent in epoch: 34.00429940223694
epoch: 37	train ppl: 3.584758221906079	val ppl: 3638.468212569367	best val: 135.3315936944499	time (s) spent in epoch: 34.37844491004944
epoch: 38	train ppl: 3.5234683933049804	val ppl: 3878.4305708000734	best val: 135.3315936944499	time (s) spent in epoch: 35.0208945274353
epoch: 39	train ppl: 3.4507787566503083	val ppl: 4092.8084665643305	best val: 135.3315936944499	time (s) spent in epoch: 30.141647577285767
