epoch: 0	train ppl: 526093.3144784566	val ppl: 94060.85358332453	best val: 94060.85358332453	time (s) spent in epoch: 72.88513731956482
epoch: 1	train ppl: 10476.258794465204	val ppl: 3820.8024116913275	best val: 3820.8024116913275	time (s) spent in epoch: 74.35645699501038
epoch: 2	train ppl: 4079.6836537422832	val ppl: 4668.167949707585	best val: 3820.8024116913275	time (s) spent in epoch: 63.93498921394348
epoch: 3	train ppl: 789.5929966684245	val ppl: 548.6046985424683	best val: 548.6046985424683	time (s) spent in epoch: 81.86195683479309
epoch: 4	train ppl: 558.932373128051	val ppl: 625.1703814161406	best val: 548.6046985424683	time (s) spent in epoch: 61.96250581741333
epoch: 5	train ppl: 488.7792711898078	val ppl: 448.63864841230276	best val: 448.63864841230276	time (s) spent in epoch: 77.8425133228302
epoch: 6	train ppl: 451.19708668156835	val ppl: 413.9969764232239	best val: 413.9969764232239	time (s) spent in epoch: 68.70960283279419
epoch: 7	train ppl: 413.16944490303234	val ppl: 387.12247988302664	best val: 387.12247988302664	time (s) spent in epoch: 73.60401916503906
epoch: 8	train ppl: 372.8741207863056	val ppl: 350.1148026942099	best val: 350.1148026942099	time (s) spent in epoch: 71.9772310256958
epoch: 9	train ppl: 317.3861571870397	val ppl: 421.7399493281738	best val: 350.1148026942099	time (s) spent in epoch: 70.48907375335693
epoch: 10	train ppl: 279.9930507748972	val ppl: 271.09798454651917	best val: 271.09798454651917	time (s) spent in epoch: 74.10105299949646
epoch: 11	train ppl: 243.9604880861069	val ppl: 246.51225014245705	best val: 246.51225014245705	time (s) spent in epoch: 67.62282395362854
epoch: 12	train ppl: 214.09250179632892	val ppl: 238.18120022060486	best val: 238.18120022060486	time (s) spent in epoch: 78.26159262657166
epoch: 13	train ppl: 185.79208441185918	val ppl: 216.08318716388342	best val: 216.08318716388342	time (s) spent in epoch: 62.880770206451416
epoch: 14	train ppl: 166.34940476158886	val ppl: 196.34181591619299	best val: 196.34181591619299	time (s) spent in epoch: 80.86141705513
epoch: 15	train ppl: 149.9483313439059	val ppl: 207.50925918552264	best val: 196.34181591619299	time (s) spent in epoch: 59.834914445877075
epoch: 16	train ppl: 133.22553397009563	val ppl: 193.77348941659486	best val: 193.77348941659486	time (s) spent in epoch: 76.63393044471741
epoch: 17	train ppl: 119.63089264381115	val ppl: 187.76639623572217	best val: 187.76639623572217	time (s) spent in epoch: 69.00434255599976
epoch: 18	train ppl: 108.78177531691176	val ppl: 175.67817259649453	best val: 175.67817259649453	time (s) spent in epoch: 71.96542429924011
epoch: 19	train ppl: 98.02304522704452	val ppl: 188.36994474525758	best val: 175.67817259649453	time (s) spent in epoch: 68.72765564918518
epoch: 20	train ppl: 90.13790030379764	val ppl: 165.65043125146107	best val: 165.65043125146107	time (s) spent in epoch: 69.39212393760681
epoch: 21	train ppl: 80.8555180048628	val ppl: 185.91173715044292	best val: 165.65043125146107	time (s) spent in epoch: 68.320077419281
epoch: 22	train ppl: 74.21295503944158	val ppl: 192.9449449469229	best val: 165.65043125146107	time (s) spent in epoch: 67.97583794593811
epoch: 23	train ppl: 66.92451904366611	val ppl: 177.52804865947056	best val: 165.65043125146107	time (s) spent in epoch: 72.82713794708252
epoch: 24	train ppl: 60.370040765893584	val ppl: 206.15511437935723	best val: 165.65043125146107	time (s) spent in epoch: 65.5216498374939
epoch: 25	train ppl: 55.26976861550249	val ppl: 205.2815872523395	best val: 165.65043125146107	time (s) spent in epoch: 79.68113565444946
epoch: 26	train ppl: 51.915939943930105	val ppl: 222.49568394088539	best val: 165.65043125146107	time (s) spent in epoch: 63.04503607749939
epoch: 27	train ppl: 46.238351550498926	val ppl: 265.424441299765	best val: 165.65043125146107	time (s) spent in epoch: 77.27807140350342
epoch: 28	train ppl: 43.64653808179559	val ppl: 265.13718529350905	best val: 165.65043125146107	time (s) spent in epoch: 61.30276155471802
epoch: 29	train ppl: 38.98333843850129	val ppl: 277.7044475262412	best val: 165.65043125146107	time (s) spent in epoch: 76.1558427810669
epoch: 30	train ppl: 35.921360150586054	val ppl: 263.05520446480483	best val: 165.65043125146107	time (s) spent in epoch: 64.05659914016724
epoch: 31	train ppl: 32.94508390911609	val ppl: 246.19008304391613	best val: 165.65043125146107	time (s) spent in epoch: 73.26577925682068
epoch: 32	train ppl: 29.754514903379157	val ppl: 304.4028594859388	best val: 165.65043125146107	time (s) spent in epoch: 68.96677541732788
epoch: 33	train ppl: 27.441963686003227	val ppl: 350.23928436420897	best val: 165.65043125146107	time (s) spent in epoch: 69.36278700828552
epoch: 34	train ppl: 24.89649681524894	val ppl: 372.4151385172784	best val: 165.65043125146107	time (s) spent in epoch: 68.13683009147644
epoch: 35	train ppl: 22.75949860410367	val ppl: 420.7993054460467	best val: 165.65043125146107	time (s) spent in epoch: 66.66531801223755
epoch: 36	train ppl: 21.474173639930374	val ppl: 405.0375835688019	best val: 165.65043125146107	time (s) spent in epoch: 74.11636114120483
epoch: 37	train ppl: 20.48309673137377	val ppl: 453.1076458997357	best val: 165.65043125146107	time (s) spent in epoch: 64.10283613204956
epoch: 38	train ppl: 18.61462286093028	val ppl: 531.8318994881718	best val: 165.65043125146107	time (s) spent in epoch: 79.0424211025238
epoch: 39	train ppl: 16.986353278277562	val ppl: 479.21967575121704	best val: 165.65043125146107	time (s) spent in epoch: 62.77793526649475
