epoch: 0	train ppl: 583.0939935322259	val ppl: 359.91888788210684	best val: 359.91888788210684	time (s) spent in epoch: 539.0862019062042
epoch: 1	train ppl: 396.2306994637055	val ppl: 299.51076177775724	best val: 299.51076177775724	time (s) spent in epoch: 539.1422460079193
epoch: 2	train ppl: 337.0912860326602	val ppl: 270.01401791738596	best val: 270.01401791738596	time (s) spent in epoch: 538.3821363449097
epoch: 3	train ppl: 301.55552978175564	val ppl: 252.14654720069598	best val: 252.14654720069598	time (s) spent in epoch: 539.1352016925812
epoch: 4	train ppl: 276.4914556203782	val ppl: 240.38920146266463	best val: 240.38920146266463	time (s) spent in epoch: 538.3796706199646
epoch: 5	train ppl: 257.02191316554126	val ppl: 227.02576430189757	best val: 227.02576430189757	time (s) spent in epoch: 538.0442326068878
epoch: 6	train ppl: 241.0506679958653	val ppl: 215.33694563990946	best val: 215.33694563990946	time (s) spent in epoch: 538.398108959198
epoch: 7	train ppl: 228.33650514717164	val ppl: 211.34452685618567	best val: 211.34452685618567	time (s) spent in epoch: 538.6551103591919
epoch: 8	train ppl: 217.40675233812883	val ppl: 205.07882297323806	best val: 205.07882297323806	time (s) spent in epoch: 538.941389799118
epoch: 9	train ppl: 207.7028642360717	val ppl: 200.57954535104648	best val: 200.57954535104648	time (s) spent in epoch: 538.0790765285492
epoch: 10	train ppl: 200.16518882313852	val ppl: 200.11627806037825	best val: 200.11627806037825	time (s) spent in epoch: 539.2836008071899
epoch: 11	train ppl: 192.91120354392723	val ppl: 198.02304648471113	best val: 198.02304648471113	time (s) spent in epoch: 539.2787427902222
epoch: 12	train ppl: 186.59385154904123	val ppl: 193.51036600437337	best val: 193.51036600437337	time (s) spent in epoch: 539.1730935573578
epoch: 13	train ppl: 180.890524935763	val ppl: 192.44124449699515	best val: 192.44124449699515	time (s) spent in epoch: 538.7690191268921
epoch: 14	train ppl: 175.00153244415827	val ppl: 185.08257139320656	best val: 185.08257139320656	time (s) spent in epoch: 538.9265465736389
epoch: 15	train ppl: 170.59458341433483	val ppl: 187.76328538152575	best val: 185.08257139320656	time (s) spent in epoch: 533.1224415302277
epoch: 16	train ppl: 166.0247773055522	val ppl: 185.33118232785725	best val: 185.08257139320656	time (s) spent in epoch: 533.2009561061859
epoch: 17	train ppl: 162.1040545757911	val ppl: 183.49899541679852	best val: 183.49899541679852	time (s) spent in epoch: 538.9796168804169
epoch: 18	train ppl: 158.65895493556468	val ppl: 183.7681049100786	best val: 183.49899541679852	time (s) spent in epoch: 533.2400305271149
epoch: 19	train ppl: 154.47315460405125	val ppl: 177.30985861857468	best val: 177.30985861857468	time (s) spent in epoch: 538.7692973613739
epoch: 20	train ppl: 151.418928517028	val ppl: 179.58935663528985	best val: 177.30985861857468	time (s) spent in epoch: 533.194488286972
epoch: 21	train ppl: 148.69273551930348	val ppl: 185.50672243766067	best val: 177.30985861857468	time (s) spent in epoch: 532.6639001369476
epoch: 22	train ppl: 145.54521050240464	val ppl: 179.43128390530512	best val: 177.30985861857468	time (s) spent in epoch: 532.7607204914093
epoch: 23	train ppl: 142.6868355578539	val ppl: 179.96547828048244	best val: 177.30985861857468	time (s) spent in epoch: 532.5871841907501
epoch: 24	train ppl: 140.0936326595984	val ppl: 176.1862433394577	best val: 176.1862433394577	time (s) spent in epoch: 538.1902046203613
epoch: 25	train ppl: 137.49013566439925	val ppl: 180.7850963088119	best val: 176.1862433394577	time (s) spent in epoch: 532.346747636795
epoch: 26	train ppl: 135.12446968522897	val ppl: 180.06529563906545	best val: 176.1862433394577	time (s) spent in epoch: 532.3678364753723
epoch: 27	train ppl: 132.7402802704255	val ppl: 178.31566129878965	best val: 176.1862433394577	time (s) spent in epoch: 532.4002194404602
epoch: 28	train ppl: 130.51515334762274	val ppl: 178.29594086035425	best val: 176.1862433394577	time (s) spent in epoch: 532.3864915370941
epoch: 29	train ppl: 128.73634641875975	val ppl: 178.91030636631842	best val: 176.1862433394577	time (s) spent in epoch: 532.3850462436676
epoch: 30	train ppl: 126.41453613890023	val ppl: 179.89966018221057	best val: 176.1862433394577	time (s) spent in epoch: 532.4632863998413
epoch: 31	train ppl: 124.58182690724854	val ppl: 182.16208751297808	best val: 176.1862433394577	time (s) spent in epoch: 532.4774532318115
epoch: 32	train ppl: 122.96753834102701	val ppl: 179.57478624791906	best val: 176.1862433394577	time (s) spent in epoch: 532.4062967300415
epoch: 33	train ppl: 121.20860814793589	val ppl: 177.43550429781078	best val: 176.1862433394577	time (s) spent in epoch: 532.4221694469452
epoch: 34	train ppl: 119.58626535984543	val ppl: 180.01215910048342	best val: 176.1862433394577	time (s) spent in epoch: 532.4194085597992
epoch: 35	train ppl: 117.93737063507186	val ppl: 181.81593231018604	best val: 176.1862433394577	time (s) spent in epoch: 532.3913588523865
epoch: 36	train ppl: 116.6169357558641	val ppl: 179.5326280042713	best val: 176.1862433394577	time (s) spent in epoch: 532.3805277347565
epoch: 37	train ppl: 115.05901528560942	val ppl: 176.1412665770951	best val: 176.1412665770951	time (s) spent in epoch: 538.2542426586151
epoch: 38	train ppl: 113.41817283329691	val ppl: 179.47934218691776	best val: 176.1412665770951	time (s) spent in epoch: 532.3180131912231
epoch: 39	train ppl: 112.30621465767918	val ppl: 180.71722134406795	best val: 176.1412665770951	time (s) spent in epoch: 532.5312781333923
