epoch: 0	train ppl: 578.4101545841077	val ppl: 362.9022108117817	best val: 362.9022108117817	time (s) spent in epoch: 413.3432357311249
epoch: 1	train ppl: 375.58338246295773	val ppl: 294.838269929987	best val: 294.838269929987	time (s) spent in epoch: 413.3291401863098
epoch: 2	train ppl: 318.56928016141615	val ppl: 260.1902655133802	best val: 260.1902655133802	time (s) spent in epoch: 413.2602889537811
epoch: 3	train ppl: 285.2153856366999	val ppl: 238.7370383327525	best val: 238.7370383327525	time (s) spent in epoch: 413.4015018939972
epoch: 4	train ppl: 262.4229485241887	val ppl: 225.18783618191367	best val: 225.18783618191367	time (s) spent in epoch: 413.0879988670349
epoch: 5	train ppl: 245.81696049064408	val ppl: 217.2775601720727	best val: 217.2775601720727	time (s) spent in epoch: 412.8538110256195
epoch: 6	train ppl: 232.48669441091144	val ppl: 213.14908640086549	best val: 213.14908640086549	time (s) spent in epoch: 412.96983575820923
epoch: 7	train ppl: 221.41670905329696	val ppl: 206.59077997405748	best val: 206.59077997405748	time (s) spent in epoch: 412.9837291240692
epoch: 8	train ppl: 212.1696163751263	val ppl: 199.4198723288255	best val: 199.4198723288255	time (s) spent in epoch: 412.8749945163727
epoch: 9	train ppl: 204.2229809292976	val ppl: 193.88581609345687	best val: 193.88581609345687	time (s) spent in epoch: 413.2539472579956
epoch: 10	train ppl: 196.97983238533232	val ppl: 190.22833852319434	best val: 190.22833852319434	time (s) spent in epoch: 412.41632437705994
epoch: 11	train ppl: 191.294960161039	val ppl: 187.03953859373507	best val: 187.03953859373507	time (s) spent in epoch: 412.65919160842896
epoch: 12	train ppl: 185.27182559098156	val ppl: 192.11396990589003	best val: 187.03953859373507	time (s) spent in epoch: 412.81783652305603
epoch: 13	train ppl: 180.69414705591493	val ppl: 188.8508621390926	best val: 187.03953859373507	time (s) spent in epoch: 412.3699519634247
epoch: 14	train ppl: 176.11122770844645	val ppl: 183.19788689010275	best val: 183.19788689010275	time (s) spent in epoch: 412.9807550907135
epoch: 15	train ppl: 171.71058118285856	val ppl: 182.10998447436964	best val: 182.10998447436964	time (s) spent in epoch: 413.05701875686646
epoch: 16	train ppl: 168.27595493268555	val ppl: 185.96595034114347	best val: 182.10998447436964	time (s) spent in epoch: 413.4127914905548
epoch: 17	train ppl: 164.6564196323821	val ppl: 177.01408809669567	best val: 177.01408809669567	time (s) spent in epoch: 413.3433198928833
epoch: 18	train ppl: 161.26542210960102	val ppl: 177.59424789117335	best val: 177.01408809669567	time (s) spent in epoch: 413.1742401123047
epoch: 19	train ppl: 158.2320829987573	val ppl: 177.1364149195055	best val: 177.01408809669567	time (s) spent in epoch: 412.85276198387146
epoch: 20	train ppl: 155.24562459600372	val ppl: 184.3384049603869	best val: 177.01408809669567	time (s) spent in epoch: 413.10821628570557
epoch: 21	train ppl: 152.58253509781463	val ppl: 172.9382240297454	best val: 172.9382240297454	time (s) spent in epoch: 412.95078468322754
epoch: 22	train ppl: 149.98812251456198	val ppl: 173.9410882983938	best val: 172.9382240297454	time (s) spent in epoch: 412.9797613620758
epoch: 23	train ppl: 147.8004603965907	val ppl: 175.85593229511494	best val: 172.9382240297454	time (s) spent in epoch: 412.86368560791016
epoch: 24	train ppl: 145.46198013744058	val ppl: 174.14560898085685	best val: 172.9382240297454	time (s) spent in epoch: 413.4442329406738
epoch: 25	train ppl: 143.37951946447373	val ppl: 175.49306905912283	best val: 172.9382240297454	time (s) spent in epoch: 413.30482029914856
epoch: 26	train ppl: 141.20466934303988	val ppl: 174.08101891679252	best val: 172.9382240297454	time (s) spent in epoch: 412.4830400943756
epoch: 27	train ppl: 139.29722298925898	val ppl: 173.3064529604294	best val: 172.9382240297454	time (s) spent in epoch: 412.48996090888977
epoch: 28	train ppl: 137.594682082863	val ppl: 175.0297842428399	best val: 172.9382240297454	time (s) spent in epoch: 412.70332956314087
epoch: 29	train ppl: 135.69114590428472	val ppl: 173.12244831849083	best val: 172.9382240297454	time (s) spent in epoch: 412.3988447189331
epoch: 30	train ppl: 133.97601200739192	val ppl: 172.5817738845637	best val: 172.5817738845637	time (s) spent in epoch: 412.46749353408813
epoch: 31	train ppl: 132.22625079468452	val ppl: 177.98478052695066	best val: 172.5817738845637	time (s) spent in epoch: 412.2278468608856
epoch: 32	train ppl: 131.00675769169914	val ppl: 173.85501489359362	best val: 172.5817738845637	time (s) spent in epoch: 412.4548592567444
epoch: 33	train ppl: 129.13749236268143	val ppl: 176.46723061876227	best val: 172.5817738845637	time (s) spent in epoch: 412.2583396434784
epoch: 34	train ppl: 128.11722665924677	val ppl: 174.34847395370662	best val: 172.5817738845637	time (s) spent in epoch: 412.4976546764374
epoch: 35	train ppl: 126.83711752084892	val ppl: 172.22003232921574	best val: 172.22003232921574	time (s) spent in epoch: 412.57118225097656
epoch: 36	train ppl: 125.02930731623394	val ppl: 174.62355339590556	best val: 172.22003232921574	time (s) spent in epoch: 412.306853055954
epoch: 37	train ppl: 124.13578690757006	val ppl: 173.47188364879932	best val: 172.22003232921574	time (s) spent in epoch: 412.53057885169983
epoch: 38	train ppl: 122.51569287884715	val ppl: 175.15485883723085	best val: 172.22003232921574	time (s) spent in epoch: 412.7680380344391
epoch: 39	train ppl: 121.23315789313686	val ppl: 177.5850407827249	best val: 172.22003232921574	time (s) spent in epoch: 412.69994282722473
