epoch: 0	train ppl: 57079897.27557495	val ppl: 12863.767089311228	best val: 12863.767089311228	time (s) spent in epoch: 150.16866064071655
epoch: 1	train ppl: 55495.407123078	val ppl: 3086.3812722365356	best val: 3086.3812722365356	time (s) spent in epoch: 147.67802119255066
epoch: 2	train ppl: 5913.341155846087	val ppl: 1393.3408531409061	best val: 1393.3408531409061	time (s) spent in epoch: 146.94025206565857
epoch: 3	train ppl: 1374.5245314073447	val ppl: 1655.9361916134224	best val: 1393.3408531409061	time (s) spent in epoch: 140.93474769592285
epoch: 4	train ppl: 561.6052233254605	val ppl: 517.6607730347333	best val: 517.6607730347333	time (s) spent in epoch: 146.46378231048584
epoch: 5	train ppl: 429.14439587662747	val ppl: 482.07796831021403	best val: 482.07796831021403	time (s) spent in epoch: 146.49888515472412
epoch: 6	train ppl: 406.7178738779782	val ppl: 447.42019680115067	best val: 447.42019680115067	time (s) spent in epoch: 145.99603128433228
epoch: 7	train ppl: 370.6595021917976	val ppl: 348.3301978756259	best val: 348.3301978756259	time (s) spent in epoch: 146.1762237548828
epoch: 8	train ppl: 311.8010461723062	val ppl: 291.39565746647725	best val: 291.39565746647725	time (s) spent in epoch: 146.32109951972961
epoch: 9	train ppl: 273.1766508532755	val ppl: 320.4058681379007	best val: 291.39565746647725	time (s) spent in epoch: 141.90954184532166
epoch: 10	train ppl: 231.5559332792756	val ppl: 235.71690351742916	best val: 235.71690351742916	time (s) spent in epoch: 146.110901594162
epoch: 11	train ppl: 195.34518809152578	val ppl: 223.6595938745936	best val: 223.6595938745936	time (s) spent in epoch: 148.2638556957245
epoch: 12	train ppl: 166.00044251671028	val ppl: 195.09952836726782	best val: 195.09952836726782	time (s) spent in epoch: 146.1809720993042
epoch: 13	train ppl: 139.75928205402937	val ppl: 176.85327193873644	best val: 176.85327193873644	time (s) spent in epoch: 145.77366662025452
epoch: 14	train ppl: 120.59345559340089	val ppl: 169.01415544856292	best val: 169.01415544856292	time (s) spent in epoch: 145.2468285560608
epoch: 15	train ppl: 92.78226987612528	val ppl: 158.69481964211533	best val: 158.69481964211533	time (s) spent in epoch: 145.13093781471252
epoch: 16	train ppl: 70.87047252356905	val ppl: 149.70211387415006	best val: 149.70211387415006	time (s) spent in epoch: 144.79405736923218
epoch: 17	train ppl: 54.74546808985476	val ppl: 156.39656531106309	best val: 149.70211387415006	time (s) spent in epoch: 141.140531539917
epoch: 18	train ppl: 44.003673893089015	val ppl: 166.14082380291663	best val: 149.70211387415006	time (s) spent in epoch: 140.72743582725525
epoch: 19	train ppl: 37.653427314957476	val ppl: 171.7923615353063	best val: 149.70211387415006	time (s) spent in epoch: 141.70080852508545
epoch: 20	train ppl: 34.428026859550094	val ppl: 173.3856842795837	best val: 149.70211387415006	time (s) spent in epoch: 141.13325834274292
epoch: 21	train ppl: 32.90163466082715	val ppl: 172.969411354109	best val: 149.70211387415006	time (s) spent in epoch: 140.94454717636108
epoch: 22	train ppl: 32.28090266020597	val ppl: 172.2545279696235	best val: 149.70211387415006	time (s) spent in epoch: 141.47213315963745
epoch: 23	train ppl: 32.10370813017732	val ppl: 172.0618901850356	best val: 149.70211387415006	time (s) spent in epoch: 140.5657389163971
epoch: 24	train ppl: 32.038434641916886	val ppl: 172.0159508373327	best val: 149.70211387415006	time (s) spent in epoch: 140.45111322402954
epoch: 25	train ppl: 32.00237881083203	val ppl: 172.0068669638074	best val: 149.70211387415006	time (s) spent in epoch: 141.5745780467987
epoch: 26	train ppl: 32.02500212057734	val ppl: 172.0054111280034	best val: 149.70211387415006	time (s) spent in epoch: 140.71252584457397
epoch: 27	train ppl: 31.982053705343567	val ppl: 172.0052573432507	best val: 149.70211387415006	time (s) spent in epoch: 140.7092626094818
epoch: 28	train ppl: 32.007559789855144	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 141.00269651412964
epoch: 29	train ppl: 32.02144107073884	val ppl: 172.00523171247195	best val: 149.70211387415006	time (s) spent in epoch: 141.320960521698
epoch: 30	train ppl: 32.031019198363474	val ppl: 172.00523171247195	best val: 149.70211387415006	time (s) spent in epoch: 141.03587341308594
epoch: 31	train ppl: 32.00142441637816	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 139.75855588912964
epoch: 32	train ppl: 32.02576477994989	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 141.38142347335815
epoch: 33	train ppl: 32.03892236940668	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 141.84647822380066
epoch: 34	train ppl: 31.98163314797777	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 140.66314220428467
epoch: 35	train ppl: 32.043612674229514	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 141.86211681365967
epoch: 36	train ppl: 32.015865637205366	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 141.72535681724548
epoch: 37	train ppl: 32.011604026718736	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 140.98868536949158
epoch: 38	train ppl: 31.973057518379427	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 140.7986991405487
epoch: 39	train ppl: 31.98700289890953	val ppl: 172.00522146016152	best val: 149.70211387415006	time (s) spent in epoch: 142.2405219078064
