epoch: 0	train ppl: 19008892.904134408	val ppl: 4636.135276159908	best val: 4636.135276159908	time (s) spent in epoch: 92.69027042388916
epoch: 1	train ppl: 38511.92419634	val ppl: 3055.0945363599762	best val: 3055.0945363599762	time (s) spent in epoch: 90.77735042572021
epoch: 2	train ppl: 1695.9369148015817	val ppl: 1379.4053608082354	best val: 1379.4053608082354	time (s) spent in epoch: 91.29898619651794
epoch: 3	train ppl: 799.2324021911476	val ppl: 541.6647547523447	best val: 541.6647547523447	time (s) spent in epoch: 91.51409196853638
epoch: 4	train ppl: 572.4254814390214	val ppl: 433.684056659948	best val: 433.684056659948	time (s) spent in epoch: 91.24698829650879
epoch: 5	train ppl: 436.024892299426	val ppl: 392.4197510272915	best val: 392.4197510272915	time (s) spent in epoch: 91.45840787887573
epoch: 6	train ppl: 355.78081046491906	val ppl: 357.40030293021056	best val: 357.40030293021056	time (s) spent in epoch: 92.79228925704956
epoch: 7	train ppl: 299.15617848181756	val ppl: 337.724403977683	best val: 337.724403977683	time (s) spent in epoch: 90.98826479911804
epoch: 8	train ppl: 245.99148326863119	val ppl: 305.6853463508468	best val: 305.6853463508468	time (s) spent in epoch: 91.19898867607117
epoch: 9	train ppl: 217.3485627895253	val ppl: 261.5244826648753	best val: 261.5244826648753	time (s) spent in epoch: 91.60474014282227
epoch: 10	train ppl: 185.79247730106135	val ppl: 203.30176341826512	best val: 203.30176341826512	time (s) spent in epoch: 91.71019864082336
epoch: 11	train ppl: 160.0784129648128	val ppl: 188.4099028373092	best val: 188.4099028373092	time (s) spent in epoch: 90.46253228187561
epoch: 12	train ppl: 137.6188095991771	val ppl: 186.4351229811164	best val: 186.4351229811164	time (s) spent in epoch: 90.9480504989624
epoch: 13	train ppl: 124.05723576776639	val ppl: 163.67233559809347	best val: 163.67233559809347	time (s) spent in epoch: 91.34081506729126
epoch: 14	train ppl: 109.19793982661294	val ppl: 174.0613190495323	best val: 163.67233559809347	time (s) spent in epoch: 89.0340416431427
epoch: 15	train ppl: 87.74699375615707	val ppl: 160.86262824139968	best val: 160.86262824139968	time (s) spent in epoch: 91.92439937591553
epoch: 16	train ppl: 69.89998460177236	val ppl: 158.26061526154098	best val: 158.26061526154098	time (s) spent in epoch: 91.73591732978821
epoch: 17	train ppl: 55.972164235702074	val ppl: 155.97414347892538	best val: 155.97414347892538	time (s) spent in epoch: 92.1571295261383
epoch: 18	train ppl: 46.2061229394105	val ppl: 162.74416817368896	best val: 155.97414347892538	time (s) spent in epoch: 89.01696443557739
epoch: 19	train ppl: 40.30812943430199	val ppl: 166.24908637758642	best val: 155.97414347892538	time (s) spent in epoch: 89.14510941505432
epoch: 20	train ppl: 37.239058569378365	val ppl: 167.86729280786926	best val: 155.97414347892538	time (s) spent in epoch: 89.01315522193909
epoch: 21	train ppl: 35.807848617029784	val ppl: 167.30603457181462	best val: 155.97414347892538	time (s) spent in epoch: 88.7125415802002
epoch: 22	train ppl: 35.190290294520004	val ppl: 166.4962720742995	best val: 155.97414347892538	time (s) spent in epoch: 88.61708378791809
epoch: 23	train ppl: 34.95969227112116	val ppl: 166.27315265461593	best val: 155.97414347892538	time (s) spent in epoch: 89.27924585342407
epoch: 24	train ppl: 34.942830606470004	val ppl: 166.22052551105435	best val: 155.97414347892538	time (s) spent in epoch: 88.56574654579163
epoch: 25	train ppl: 34.86710070711961	val ppl: 166.2104350129291	best val: 155.97414347892538	time (s) spent in epoch: 83.35921621322632
epoch: 26	train ppl: 34.92964702124841	val ppl: 166.208364480813	best val: 155.97414347892538	time (s) spent in epoch: 87.8994345664978
epoch: 27	train ppl: 34.95896205675101	val ppl: 166.2080821375229	best val: 155.97414347892538	time (s) spent in epoch: 88.78532457351685
epoch: 28	train ppl: 34.888621217870146	val ppl: 166.20805241720447	best val: 155.97414347892538	time (s) spent in epoch: 87.45121145248413
epoch: 29	train ppl: 34.91987777658715	val ppl: 166.2080573705905	best val: 155.97414347892538	time (s) spent in epoch: 88.17919850349426
epoch: 30	train ppl: 34.88185440027568	val ppl: 166.2080623239767	best val: 155.97414347892538	time (s) spent in epoch: 87.37154984474182
epoch: 31	train ppl: 34.91742970897526	val ppl: 166.20803755704725	best val: 155.97414347892538	time (s) spent in epoch: 87.901540517807
epoch: 32	train ppl: 34.91257888433411	val ppl: 166.20804251043285	best val: 155.97414347892538	time (s) spent in epoch: 88.63188314437866
epoch: 33	train ppl: 34.92098686171751	val ppl: 166.20804251043285	best val: 155.97414347892538	time (s) spent in epoch: 88.32100915908813
epoch: 34	train ppl: 34.91806743921334	val ppl: 166.20804251043285	best val: 155.97414347892538	time (s) spent in epoch: 87.96483564376831
epoch: 35	train ppl: 34.91438913822076	val ppl: 166.20804251043285	best val: 155.97414347892538	time (s) spent in epoch: 88.06660103797913
epoch: 36	train ppl: 34.93186484145749	val ppl: 166.20804251043285	best val: 155.97414347892538	time (s) spent in epoch: 88.14524626731873
epoch: 37	train ppl: 34.92887466950237	val ppl: 166.20804251043285	best val: 155.97414347892538	time (s) spent in epoch: 88.04138731956482
epoch: 38	train ppl: 34.91073587312311	val ppl: 166.20804251043285	best val: 155.97414347892538	time (s) spent in epoch: 86.77272272109985
epoch: 39	train ppl: 34.88865653965587	val ppl: 166.20804251043285	best val: 155.97414347892538	time (s) spent in epoch: 86.6183717250824
